ID,Work Item Type,Title,Test Step,Step Action,Step Expected
,Test Case,Verify Screen Share Icon Visibility and Position,1,Navigate to the workspace page,Workspace page is displayed
,,,1,Navigate to the workspace page,Workspace page is displayed
,,,2,Observe the screen share icon,Screen share icon is visible on the workspace page
,,,3,Verify icon position,Screen share icon is located in the bottom right corner of the page

,Test Case,Verify Screen Share Modal Display,1,Navigate to the workspace page,Workspace page is displayed
,,,1,Navigate to the workspace page,Workspace page is displayed
,,,2,Click on the screen share icon,Screen share icon is clicked
,,,3,Observe the modal,Screen share modal displays after clicking the icon

,Test Case,Verify Screen Share Modal Loading State,1,Navigate to the workspace page,Workspace page is displayed
,,,1,Navigate to the workspace page,Workspace page is displayed
,,,2,Click on the screen share icon,Screen share modal begins to open
,,,3,Observe the loading indicator,Loading spinner displays while screen options are loading
,,,4,Observe the loading text,"Loading ..." text is displayed during loading process
,,,5,Compare with Figma design,Loading UI matches the design specifications from Figma file

,Test Case,Verify Screen Options Load Successfully,1,Open the screen share modal,Modal displays with loading indicator
,,,1,Open the screen share modal,Modal displays with loading indicator
,,,2,Wait for screen options to load,Screen options finish loading
,,,3,Observe the modal content,Screen options replace the loading indicator
,,,4,Verify available screens are displayed,Available screens are shown in the modal for selection

,Test Case,Verify Close Modal with X Button,1,Navigate to the workspace page,Workspace page is displayed
,,,1,Navigate to the workspace page,Workspace page is displayed
,,,2,Click on the screen share icon,Screen share modal displays
,,,3,Locate the close button,Close button (X) is visible in the top right corner of the modal
,,,4,Click the X button,Screen share modal closes
,,,5,Verify no screen is shared,No screen is shared after closing the modal

,Test Case,Verify Screen Selection Capability,1,Open the screen share modal,Modal displays with available screens
,,,1,Open the screen share modal,Modal displays with available screens
,,,2,Observe available screens,Modal displays all available screens for the user
,,,3,Click on different screens,User can select any available screen from the list
,,,4,Verify selection indication,Selected screen is highlighted or indicated visually

,Test Case,Verify Share Screen Functionality,1,Open the screen share modal,Modal displays with available screens
,,,1,Open the screen share modal,Modal displays with available screens
,,,2,Select a screen from available options,Screen is selected and highlighted
,,,3,Observe the Share button,"Share" button is available and enabled after selecting a screen
,,,4,Click the Share button,Share button is clicked
,,,5,Verify screen is shared for sharing user,Selected screen displays as a video feed for the user who is sharing
,,,6,Verify screen is shared for all participants,Shared screen is visible to all users on the connected call

,Test Case,Verify Cancel Button Functionality,1,Navigate to the workspace page,Workspace page is displayed
,,,1,Navigate to the workspace page,Workspace page is displayed
,,,2,Click on the screen share icon,Screen share modal displays
,,,3,Locate the Cancel button,"Cancel" button is visible in the modal
,,,4,Click the Cancel button,Screen share modal closes
,,,5,Verify no screen is shared,No screen is shared when Cancel button is clicked

,Test Case,Verify Remove Screen Share from Video Feed,1,Share a screen successfully,Screen is shared and displays as video feed
,,,1,Share a screen successfully,Screen is shared and displays as video feed
,,,2,Observe the shared screen video feed,Shared screen video feed has a close button (X)
,,,3,Click the X button on the video feed,X button is clicked
,,,4,Verify feed closes for all parties,Video feed closes for all parties on the call
,,,5,Verify screen is no longer shared,Screen is no longer shared after closing the video feed

,Test Case,Verify Screen Share Icon While Already Sharing,1,Share a screen successfully,Screen is being shared actively
,,,1,Share a screen successfully,Screen is being shared actively
,,,2,Click the screen share icon again,Screen share icon is clicked while sharing
,,,3,Verify modal displays,Modal displays during active sharing
,,,4,Observe Stop Sharing option,"Stop Sharing" option is displayed in the modal
,,,5,Verify ability to select different screen,User can select a different screen while currently sharing

,Test Case,Verify Stop Sharing Functionality,1,Share a screen successfully,Screen is being shared actively
,,,1,Share a screen successfully,Screen is being shared actively
,,,2,Click the screen share icon,Modal displays with Stop Sharing option
,,,3,Click the Stop Sharing button,Stop Sharing button is clicked
,,,4,Verify screen share stops,Screen share stops when Stop Sharing is clicked
,,,5,Verify shared screen closes for all parties,Shared screen closes for all parties on the call
,,,6,Verify modal closes,Modal closes after Stop Sharing is completed

,Test Case,Verify Share Different Screen UI Transitions,1,Share a screen successfully,Screen is being shared actively
,,,1,Share a screen successfully,Screen is being shared actively
,,,2,Click the screen share icon,Modal displays with Stop Sharing option and available screens
,,,3,Select a different screen,Different screen is selected from available options
,,,4,Verify button text transition,Button text changes from "Stop Sharing" to "Share new screen"
,,,5,Verify visual indicator transition,Blue border transitions to the newly selected screen
,,,6,Verify Share new screen button is enabled,"Share new screen" button is enabled and clickable

,Test Case,Verify Share New Screen Functionality,1,Share a screen successfully,Screen is being shared actively
,,,1,Share a screen successfully,Screen is being shared actively
,,,2,Open modal and select a different screen,Different screen is selected and "Share new screen" button is displayed
,,,3,Click the Share New Screen button,Share New Screen button is clicked
,,,4,Verify new screen is shared,Newly selected screen is shared when Share New Screen is clicked
,,,5,Verify new screen visibility for all users,Newly selected screen is visible to all users on the call
,,,6,Verify modal closes,Modal closes after Share New Screen is completed
